Sparse VM telemetry report
================================================================================
VMs assessed: 1,500
Positive-coverage Q1: 553.00 readings
Positive-coverage Q3: 561.00 readings
IQR: 8.00 readings
Lower IQR fence: 541.00 readings
VMs dropped: 253
  - No readings: 1
  - Below lower IQR fence with readings: 252
VM master rows retained: 1,247
Utilization readings retained: 696,689

Dropped VMs:
   vm_id  telemetry_readings                                                            drop_reason  drop_for_sparse_telemetry
vm_00438                 103            Reading count falls below the data-derived lower IQR fence.                       True
vm_00483                 105            Reading count falls below the data-derived lower IQR fence.                       True
vm_01288                 105            Reading count falls below the data-derived lower IQR fence.                       True
vm_01053                 106            Reading count falls below the data-derived lower IQR fence.                       True
vm_00790                 107            Reading count falls below the data-derived lower IQR fence.                       True
vm_01005                 110            Reading count falls below the data-derived lower IQR fence.                       True
vm_00675                 111            Reading count falls below the data-derived lower IQR fence.                       True
vm_00567                 112            Reading count falls below the data-derived lower IQR fence.                       True
vm_00203                 114            Reading count falls below the data-derived lower IQR fence.                       True
vm_01216                 123            Reading count falls below the data-derived lower IQR fence.                       True
vm_00836                 124            Reading count falls below the data-derived lower IQR fence.                       True
vm_00020                 129            Reading count falls below the data-derived lower IQR fence.                       True
vm_01131                 129            Reading count falls below the data-derived lower IQR fence.                       True
vm_00242                 131            Reading count falls below the data-derived lower IQR fence.                       True
vm_01130                 132            Reading count falls below the data-derived lower IQR fence.                       True
vm_01281                 136            Reading count falls below the data-derived lower IQR fence.                       True
vm_01401                 136            Reading count falls below the data-derived lower IQR fence.                       True
vm_00127                 138            Reading count falls below the data-derived lower IQR fence.                       True
vm_00076                 138            Reading count falls below the data-derived lower IQR fence.                       True
vm_00296                 142            Reading count falls below the data-derived lower IQR fence.                       True
vm_00156                 158            Reading count falls below the data-derived lower IQR fence.                       True
vm_00432                 160            Reading count falls below the data-derived lower IQR fence.                       True
vm_00194                 162            Reading count falls below the data-derived lower IQR fence.                       True
vm_01121                 166            Reading count falls below the data-derived lower IQR fence.                       True
vm_00344                 168            Reading count falls below the data-derived lower IQR fence.                       True
vm_00913                 170            Reading count falls below the data-derived lower IQR fence.                       True
vm_01498                 170            Reading count falls below the data-derived lower IQR fence.                       True
vm_00132                 178            Reading count falls below the data-derived lower IQR fence.                       True
vm_01158                 186            Reading count falls below the data-derived lower IQR fence.                       True
vm_00880                 187            Reading count falls below the data-derived lower IQR fence.                       True
vm_01150                 190            Reading count falls below the data-derived lower IQR fence.                       True
vm_00935                 192            Reading count falls below the data-derived lower IQR fence.                       True
vm_01240                 195            Reading count falls below the data-derived lower IQR fence.                       True
vm_01082                 198            Reading count falls below the data-derived lower IQR fence.                       True
vm_01432                 199            Reading count falls below the data-derived lower IQR fence.                       True
vm_01252                 202            Reading count falls below the data-derived lower IQR fence.                       True
vm_00447                 205            Reading count falls below the data-derived lower IQR fence.                       True
vm_00755                 205            Reading count falls below the data-derived lower IQR fence.                       True
vm_00892                 207            Reading count falls below the data-derived lower IQR fence.                       True
vm_00933                 208            Reading count falls below the data-derived lower IQR fence.                       True
vm_01325                 209            Reading count falls below the data-derived lower IQR fence.                       True
vm_00384                 210            Reading count falls below the data-derived lower IQR fence.                       True
vm_01025                 210            Reading count falls below the data-derived lower IQR fence.                       True
vm_00701                 210            Reading count falls below the data-derived lower IQR fence.                       True
vm_01068                 213            Reading count falls below the data-derived lower IQR fence.                       True
vm_00253                 214            Reading count falls below the data-derived lower IQR fence.                       True
vm_01376                 217            Reading count falls below the data-derived lower IQR fence.                       True
vm_00221                 220            Reading count falls below the data-derived lower IQR fence.                       True
vm_00119                 221            Reading count falls below the data-derived lower IQR fence.                       True
vm_01484                 221            Reading count falls below the data-derived lower IQR fence.                       True
vm_01482                 222            Reading count falls below the data-derived lower IQR fence.                       True
vm_00938                 222            Reading count falls below the data-derived lower IQR fence.                       True
vm_01009                 228            Reading count falls below the data-derived lower IQR fence.                       True
vm_00495                 230            Reading count falls below the data-derived lower IQR fence.                       True
vm_00283                 235            Reading count falls below the data-derived lower IQR fence.                       True
vm_00953                 235            Reading count falls below the data-derived lower IQR fence.                       True
vm_00102                 239            Reading count falls below the data-derived lower IQR fence.                       True
vm_00693                 239            Reading count falls below the data-derived lower IQR fence.                       True
vm_01220                 245            Reading count falls below the data-derived lower IQR fence.                       True
vm_00026                 247            Reading count falls below the data-derived lower IQR fence.                       True
vm_01299                 248            Reading count falls below the data-derived lower IQR fence.                       True
vm_00470                 251            Reading count falls below the data-derived lower IQR fence.                       True
vm_00611                 252            Reading count falls below the data-derived lower IQR fence.                       True
vm_01007                 254            Reading count falls below the data-derived lower IQR fence.                       True
vm_01448                 256            Reading count falls below the data-derived lower IQR fence.                       True
vm_00357                 257            Reading count falls below the data-derived lower IQR fence.                       True
vm_01290                 258            Reading count falls below the data-derived lower IQR fence.                       True
vm_00162                 261            Reading count falls below the data-derived lower IQR fence.                       True
vm_01155                 261            Reading count falls below the data-derived lower IQR fence.                       True
vm_00865                 265            Reading count falls below the data-derived lower IQR fence.                       True
vm_00757                 265            Reading count falls below the data-derived lower IQR fence.                       True
vm_00154                 268            Reading count falls below the data-derived lower IQR fence.                       True
vm_00157                 275            Reading count falls below the data-derived lower IQR fence.                       True
vm_00925                 278            Reading count falls below the data-derived lower IQR fence.                       True
vm_00795                 278            Reading count falls below the data-derived lower IQR fence.                       True
vm_01284                 282            Reading count falls below the data-derived lower IQR fence.                       True
vm_01300                 288            Reading count falls below the data-derived lower IQR fence.                       True
vm_00811                 288            Reading count falls below the data-derived lower IQR fence.                       True
vm_00278                 289            Reading count falls below the data-derived lower IQR fence.                       True
vm_00115                 291            Reading count falls below the data-derived lower IQR fence.                       True
vm_00219                 299            Reading count falls below the data-derived lower IQR fence.                       True
vm_01095                 301            Reading count falls below the data-derived lower IQR fence.                       True
vm_00103                 307            Reading count falls below the data-derived lower IQR fence.                       True
vm_01217                 307            Reading count falls below the data-derived lower IQR fence.                       True
vm_01377                 308            Reading count falls below the data-derived lower IQR fence.                       True
vm_00844                 310            Reading count falls below the data-derived lower IQR fence.                       True
vm_00155                 310            Reading count falls below the data-derived lower IQR fence.                       True
vm_01142                 311            Reading count falls below the data-derived lower IQR fence.                       True
vm_00096                 311            Reading count falls below the data-derived lower IQR fence.                       True
vm_00613                 313            Reading count falls below the data-derived lower IQR fence.                       True
vm_01255                 315            Reading count falls below the data-derived lower IQR fence.                       True
vm_01372                 318            Reading count falls below the data-derived lower IQR fence.                       True
vm_00563                 322            Reading count falls below the data-derived lower IQR fence.                       True
vm_00314                 324            Reading count falls below the data-derived lower IQR fence.                       True
vm_01308                 325            Reading count falls below the data-derived lower IQR fence.                       True
vm_00957                 326            Reading count falls below the data-derived lower IQR fence.                       True
vm_00876                 328            Reading count falls below the data-derived lower IQR fence.                       True
vm_00252                 328            Reading count falls below the data-derived lower IQR fence.                       True
vm_00457                 331            Reading count falls below the data-derived lower IQR fence.                       True
vm_01380                 335            Reading count falls below the data-derived lower IQR fence.                       True
vm_01443                 338            Reading count falls below the data-derived lower IQR fence.                       True
vm_00316                 339            Reading count falls below the data-derived lower IQR fence.                       True
vm_00574                 339            Reading count falls below the data-derived lower IQR fence.                       True
vm_01246                 340            Reading count falls below the data-derived lower IQR fence.                       True
vm_01415                 342            Reading count falls below the data-derived lower IQR fence.                       True
vm_00780                 343            Reading count falls below the data-derived lower IQR fence.                       True
vm_01117                 346            Reading count falls below the data-derived lower IQR fence.                       True
vm_00638                 347            Reading count falls below the data-derived lower IQR fence.                       True
vm_00500                 353            Reading count falls below the data-derived lower IQR fence.                       True
vm_00561                 358            Reading count falls below the data-derived lower IQR fence.                       True
vm_01019                 362            Reading count falls below the data-derived lower IQR fence.                       True
vm_00437                 363            Reading count falls below the data-derived lower IQR fence.                       True
vm_00397                 364            Reading count falls below the data-derived lower IQR fence.                       True
vm_00022                 367            Reading count falls below the data-derived lower IQR fence.                       True
vm_01128                 370            Reading count falls below the data-derived lower IQR fence.                       True
vm_00954                 373            Reading count falls below the data-derived lower IQR fence.                       True
vm_00493                 374            Reading count falls below the data-derived lower IQR fence.                       True
vm_00873                 377            Reading count falls below the data-derived lower IQR fence.                       True
vm_00902                 386            Reading count falls below the data-derived lower IQR fence.                       True
vm_00264                 389            Reading count falls below the data-derived lower IQR fence.                       True
vm_01454                 389            Reading count falls below the data-derived lower IQR fence.                       True
vm_00343                 391            Reading count falls below the data-derived lower IQR fence.                       True
vm_00827                 396            Reading count falls below the data-derived lower IQR fence.                       True
vm_01212                 400            Reading count falls below the data-derived lower IQR fence.                       True
vm_00534                 402            Reading count falls below the data-derived lower IQR fence.                       True
vm_00372                 403            Reading count falls below the data-derived lower IQR fence.                       True
vm_00800                 404            Reading count falls below the data-derived lower IQR fence.                       True
vm_01373                 407            Reading count falls below the data-derived lower IQR fence.                       True
vm_00363                 407            Reading count falls below the data-derived lower IQR fence.                       True
vm_00335                 408            Reading count falls below the data-derived lower IQR fence.                       True
vm_01316                 410            Reading count falls below the data-derived lower IQR fence.                       True
vm_00439                 416            Reading count falls below the data-derived lower IQR fence.                       True
vm_00556                 420            Reading count falls below the data-derived lower IQR fence.                       True
vm_00769                 421            Reading count falls below the data-derived lower IQR fence.                       True
vm_00172                 421            Reading count falls below the data-derived lower IQR fence.                       True
vm_01063                 421            Reading count falls below the data-derived lower IQR fence.                       True
vm_00459                 422            Reading count falls below the data-derived lower IQR fence.                       True
vm_00997                 424            Reading count falls below the data-derived lower IQR fence.                       True
vm_00466                 425            Reading count falls below the data-derived lower IQR fence.                       True
vm_00572                 426            Reading count falls below the data-derived lower IQR fence.                       True
vm_00084                 427            Reading count falls below the data-derived lower IQR fence.                       True
vm_01453                 429            Reading count falls below the data-derived lower IQR fence.                       True
vm_00356                 431            Reading count falls below the data-derived lower IQR fence.                       True
vm_00399                 432            Reading count falls below the data-derived lower IQR fence.                       True
vm_01258                 435            Reading count falls below the data-derived lower IQR fence.                       True
vm_00653                 438            Reading count falls below the data-derived lower IQR fence.                       True
vm_00404                 440            Reading count falls below the data-derived lower IQR fence.                       True
vm_00151                 442            Reading count falls below the data-derived lower IQR fence.                       True
vm_00472                 443            Reading count falls below the data-derived lower IQR fence.                       True
vm_01044                 443            Reading count falls below the data-derived lower IQR fence.                       True
vm_00557                 445            Reading count falls below the data-derived lower IQR fence.                       True
vm_00183                 449            Reading count falls below the data-derived lower IQR fence.                       True
vm_01309                 450            Reading count falls below the data-derived lower IQR fence.                       True
vm_01194                 451            Reading count falls below the data-derived lower IQR fence.                       True
vm_00805                 456            Reading count falls below the data-derived lower IQR fence.                       True
vm_01257                 463            Reading count falls below the data-derived lower IQR fence.                       True
vm_00123                 464            Reading count falls below the data-derived lower IQR fence.                       True
vm_00848                 465            Reading count falls below the data-derived lower IQR fence.                       True
vm_00525                 466            Reading count falls below the data-derived lower IQR fence.                       True
vm_00422                 467            Reading count falls below the data-derived lower IQR fence.                       True
vm_00648                 468            Reading count falls below the data-derived lower IQR fence.                       True
vm_00771                 471            Reading count falls below the data-derived lower IQR fence.                       True
vm_01074                 475            Reading count falls below the data-derived lower IQR fence.                       True
vm_00802                 476            Reading count falls below the data-derived lower IQR fence.                       True
vm_00070                 478            Reading count falls below the data-derived lower IQR fence.                       True
vm_00116                 480            Reading count falls below the data-derived lower IQR fence.                       True
vm_01419                 480            Reading count falls below the data-derived lower IQR fence.                       True
vm_00553                 485            Reading count falls below the data-derived lower IQR fence.                       True
vm_01393                 487            Reading count falls below the data-derived lower IQR fence.                       True
vm_01119                 491            Reading count falls below the data-derived lower IQR fence.                       True
vm_00024                 493            Reading count falls below the data-derived lower IQR fence.                       True
vm_01008                 495            Reading count falls below the data-derived lower IQR fence.                       True
vm_00523                 496            Reading count falls below the data-derived lower IQR fence.                       True
vm_00481                 497            Reading count falls below the data-derived lower IQR fence.                       True
vm_01336                 498            Reading count falls below the data-derived lower IQR fence.                       True
vm_01363                 498            Reading count falls below the data-derived lower IQR fence.                       True
vm_01056                 498            Reading count falls below the data-derived lower IQR fence.                       True
vm_00093                 499            Reading count falls below the data-derived lower IQR fence.                       True
vm_01229                 500            Reading count falls below the data-derived lower IQR fence.                       True
vm_00090                 503            Reading count falls below the data-derived lower IQR fence.                       True
vm_00893                 505            Reading count falls below the data-derived lower IQR fence.                       True
vm_00393                 507            Reading count falls below the data-derived lower IQR fence.                       True
vm_00775                 508            Reading count falls below the data-derived lower IQR fence.                       True
vm_00068                 514            Reading count falls below the data-derived lower IQR fence.                       True
vm_01494                 516            Reading count falls below the data-derived lower IQR fence.                       True
vm_00834                 517            Reading count falls below the data-derived lower IQR fence.                       True
vm_00368                 520            Reading count falls below the data-derived lower IQR fence.                       True
vm_00857                 520            Reading count falls below the data-derived lower IQR fence.                       True
vm_01264                 524            Reading count falls below the data-derived lower IQR fence.                       True
vm_00111                 529            Reading count falls below the data-derived lower IQR fence.                       True
vm_00547                 532            Reading count falls below the data-derived lower IQR fence.                       True
vm_00044                 533            Reading count falls below the data-derived lower IQR fence.                       True
vm_00853                 538            Reading count falls below the data-derived lower IQR fence.                       True
vm_01165                 539            Reading count falls below the data-derived lower IQR fence.                       True
vm_00018                 539            Reading count falls below the data-derived lower IQR fence.                       True
vm_00692                 539            Reading count falls below the data-derived lower IQR fence.                       True
vm_00526                 540            Reading count falls below the data-derived lower IQR fence.                       True
vm_00265                 540            Reading count falls below the data-derived lower IQR fence.                       True
