vm_id,subscription_id,deployment_id,vm_created_ts,vm_deleted_ts,vm_category,core_count_bucket,memory_bucket,provisioned_vcpu,provisioned_memory_gb
vm_00055,sub_041,dep_0154,1732890559,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00056,sub_012,dep_0106,1699820795,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00057,sub_005,dep_0145,1681578212,,Interactive,medium_4_8,small_4_8,4,4
vm_00058,sub_016,dep_0000,1729732348,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00059,sub_021,dep_0117,1686754924,,Delay-Insensitive,xlarge_16_32,medium_8_16,16,8
vm_00060,sub_013,dep_0063,1712110080,,Interactive,small_2_4,large_16_32,2,16
vm_00061,sub_001,dep_0175,1690942537,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00062,sub_029,dep_0124,1740791341,,Interactive,small_2_4,small_4_8,2,4
vm_00063,sub_036,dep_0039,1723629920,,Delay-Insensitive,small_2_4,medium_8_16,2,8
vm_00064,sub_002,dep_0196,1728740620,,Delay-Insensitive,xxlarge_32_64,small_4_8,32,4
vm_00065,sub_005,dep_0154,1734733813,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00066,sub_005,dep_0107,1731316846,,Interactive,large_8_16,small_4_8,8,4
vm_00067,sub_000,dep_0054,1728807919,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00068,sub_009,dep_0176,1733949430,1740946947.0,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00069,sub_044,dep_0108,1715431930,,Interactive,medium_4_8,small_4_8,4,4
vm_00070,sub_018,dep_0115,1740812278,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00071,sub_022,dep_0182,1710274097,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00072,sub_035,dep_0122,1721377192,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00073,sub_026,dep_0184,1680791050,,Interactive,small_2_4,large_16_32,2,16
vm_00074,sub_026,dep_0140,1724551344,,Interactive,small_2_4,small_4_8,2,4
vm_00075,sub_024,dep_0105,1717468585,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00076,sub_038,dep_0100,1740914502,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00077,sub_022,dep_0011,1714975350,,Interactive,medium_4_8,medium_8_16,4,8
vm_00078,sub_032,dep_0062,1721223821,,Delay-Insensitive,small_2_4,small_4_8,2,4
vm_00079,sub_016,dep_0047,1713083298,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00080,sub_019,dep_0062,1740952816,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00081,sub_000,dep_0151,1718017357,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00082,sub_009,dep_0167,1740931713,,Interactive,large_8_16,large_16_32,8,16
vm_00083,sub_003,dep_0008,1718321914,,Delay-Insensitive,large_8_16,large_16_32,8,16
vm_00084,sub_010,dep_0038,1740818464,1740951038.0,Interactive,large_8_16,medium_8_16,8,8
vm_00085,sub_037,dep_0168,1708361023,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00086,sub_002,dep_0148,1701070742,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00087,sub_016,dep_0100,1709009215,,Interactive,large_8_16,medium_8_16,8,8
vm_00088,sub_022,dep_0103,1702940367,,Delay-Insensitive,small_2_4,xxlarge_64_128,2,64
vm_00089,sub_014,dep_0038,1700042467,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00090,sub_018,dep_0055,1729582480,1740942325.0,Interactive,xlarge_16_32,large_16_32,16,16
vm_00091,sub_021,dep_0130,1685031977,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00092,sub_022,dep_0146,1690899528,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00093,sub_044,dep_0164,1740805733,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00094,sub_043,dep_0097,1730703557,,Interactive,xlarge_16_32,small_4_8,16,4
vm_00095,sub_009,dep_0111,1733717836,1740992922.0,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00096,sub_016,dep_0021,1734865553,1740883804.0,Delay-Insensitive,large_8_16,xxlarge_64_128,8,64
vm_00097,sub_033,dep_0076,1693448171,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00098,sub_011,dep_0135,1686295782,,Interactive,small_2_4,medium_8_16,2,8
vm_00099,sub_010,dep_0104,1722793957,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00100,sub_024,dep_0177,1702492632,,Delay-Insensitive,medium_4_8,xlarge_32_64,4,32
vm_00101,sub_036,dep_0127,1712497950,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00102,sub_033,dep_0119,1740886537,,Interactive,medium_4_8,small_4_8,4,4
vm_00103,sub_015,dep_0040,1731964674,1740881906.0,Interactive,medium_4_8,large_16_32,4,16
vm_00104,sub_018,dep_0192,1710996742,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00105,sub_040,dep_0181,1683944834,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00106,sub_013,dep_0059,1736682569,,Interactive,medium_4_8,large_16_32,4,16
vm_00107,sub_026,dep_0156,1721064426,,Interactive,medium_4_8,small_4_8,4,4
vm_00108,sub_036,dep_0053,1722732729,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00109,sub_035,dep_0102,1732032642,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00110,sub_001,dep_0114,1720435218,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00111,sub_017,dep_0155,1719290970,1740951938.0,Interactive,small_2_4,xlarge_32_64,2,32
vm_00112,sub_006,dep_0000,1719925912,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00113,sub_022,dep_0082,1721572988,,Interactive,small_2_4,small_4_8,2,4
vm_00114,sub_041,dep_0095,1722449321,,Delay-Insensitive,large_8_16,large_16_32,8,16
vm_00115,sub_002,dep_0172,1740870598,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00116,sub_008,dep_0163,1740811081,1741029005.0,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00117,sub_030,dep_0169,1723580879,,Interactive,small_2_4,large_16_32,2,16
vm_00118,sub_034,dep_0058,1683962560,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00119,sub_033,dep_0162,1740891471,,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00120,sub_018,dep_0164,1707023860,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00121,sub_038,dep_0141,1737044015,,Interactive,small_2_4,medium_8_16,2,8
vm_00122,sub_005,dep_0134,1723904958,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00123,sub_044,dep_0115,1678212680,1740930630.0,Interactive,xlarge_16_32,small_4_8,16,4
vm_00124,sub_008,dep_0054,1684949800,,Interactive,large_8_16,small_4_8,8,4
vm_00125,sub_002,dep_0119,1679123840,1741003954.0,Interactive,small_2_4,medium_8_16,2,8
vm_00126,sub_024,dep_0150,1726991437,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00127,sub_041,dep_0102,1740918255,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00128,sub_004,dep_0131,1681375795,,Interactive,medium_4_8,large_16_32,4,16
vm_00129,sub_041,dep_0171,1680040679,,Interactive,medium_4_8,medium_8_16,4,8
vm_00130,sub_039,dep_0082,1699219790,,Delay-Insensitive,medium_4_8,large_16_32,4,16
vm_00131,sub_040,dep_0139,1690841772,1740989033.0,Interactive,large_8_16,large_16_32,8,16
vm_00132,sub_044,dep_0197,1725833248,1740841721.0,Delay-Insensitive,xxlarge_32_64,small_4_8,32,4
vm_00133,sub_025,dep_0116,1714327985,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00134,sub_008,dep_0072,1734101768,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00135,sub_032,dep_0048,1696792886,,Interactive,medium_4_8,medium_8_16,4,8
vm_00136,sub_009,dep_0095,1709282635,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00137,sub_011,dep_0130,1735463130,,Interactive,large_8_16,small_4_8,8,4
vm_00138,sub_034,dep_0154,1719283877,,Interactive,medium_4_8,medium_8_16,4,8
vm_00139,sub_042,dep_0060,1680557813,,Delay-Insensitive,xxlarge_32_64,medium_8_16,32,8
vm_00140,sub_024,dep_0016,1713848511,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00141,sub_038,dep_0074,1702861100,,Interactive,medium_4_8,medium_8_16,4,8
vm_00142,sub_042,dep_0046,1701703706,,Interactive,small_2_4,xlarge_32_64,2,32
vm_00143,sub_002,dep_0089,1687000179,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00144,sub_015,dep_0143,1693012080,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00145,sub_014,dep_0103,1740949635,,Interactive,medium_4_8,small_4_8,4,4
vm_00146,sub_005,dep_0036,1716339226,,Interactive,medium_4_8,large_16_32,4,16
vm_00147,sub_007,dep_0050,1728302071,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00148,sub_027,dep_0194,1682830329,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00149,sub_016,dep_0093,1678404437,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00150,sub_015,dep_0131,1681839710,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00151,sub_012,dep_0127,1740823825,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00152,sub_020,dep_0086,1714153121,,Interactive,medium_4_8,medium_8_16,4,8
vm_00153,sub_032,dep_0092,1682441564,,Interactive,small_2_4,small_4_8,2,4
vm_00154,sub_015,dep_0018,1740878017,,Interactive,small_2_4,large_16_32,2,16
vm_00155,sub_012,dep_0198,1740864896,,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00156,sub_016,dep_0078,1740910666,,Interactive,small_2_4,medium_8_16,2,8
vm_00157,sub_008,dep_0129,1740875143,,Interactive,large_8_16,large_16_32,8,16
vm_00158,sub_004,dep_0026,1688164101,,Interactive,large_8_16,large_16_32,8,16
vm_00159,sub_042,dep_0172,1718445647,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00160,sub_006,dep_0056,1691874029,,Interactive,small_2_4,small_4_8,2,4
vm_00161,sub_026,dep_0122,1705410260,,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00162,sub_017,dep_0108,1740876968,,Interactive,small_2_4,medium_8_16,2,8
vm_00163,sub_038,dep_0170,1701288645,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00164,sub_015,dep_0080,1689026104,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00165,sub_010,dep_0152,1679033397,,Delay-Insensitive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00166,sub_013,dep_0092,1699863211,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00167,sub_016,dep_0001,1688840133,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00168,sub_034,dep_0023,1695865689,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00169,sub_039,dep_0186,1728883483,,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00170,sub_012,dep_0044,1723109180,,Delay-Insensitive,xxlarge_32_64,small_4_8,32,4
vm_00171,sub_010,dep_0100,1727529167,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00172,sub_030,dep_0145,1740792690,1740921066.0,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00173,sub_002,dep_0152,1725495528,,Delay-Insensitive,medium_4_8,large_16_32,4,16
vm_00174,sub_010,dep_0149,1688527163,,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00175,sub_014,dep_0030,1703729813,1741015054.0,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00176,sub_019,dep_0019,1732944227,,Interactive,large_8_16,small_4_8,8,4
vm_00177,sub_012,dep_0164,1728034509,,Interactive,small_2_4,medium_8_16,2,8
vm_00178,sub_033,dep_0065,1705197502,,Interactive,small_2_4,small_4_8,2,4
vm_00179,sub_028,dep_0041,1710091376,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00180,sub_007,dep_0012,1728380253,,Interactive,xlarge_16_32,small_4_8,16,4
vm_00181,sub_008,dep_0175,1698669112,,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00182,sub_029,dep_0050,1709578758,,Delay-Insensitive,large_8_16,small_4_8,8,4
vm_00183,sub_002,dep_0186,1688084682,1740924709.0,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00184,sub_015,dep_0112,1712874880,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00185,sub_025,dep_0168,1710951330,,Interactive,small_2_4,large_16_32,2,16
vm_00186,sub_037,dep_0178,1684095145,,Interactive,small_2_4,large_16_32,2,16
vm_00187,sub_009,dep_0092,1717628816,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00188,sub_023,dep_0035,1732198187,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00189,sub_002,dep_0068,1723419908,,Interactive,small_2_4,medium_8_16,2,8
vm_00190,sub_004,dep_0010,1740940709,1740982418.0,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00191,sub_031,dep_0105,1686643118,,Interactive,small_2_4,small_4_8,2,4
vm_00192,sub_042,dep_0183,1709866148,,Delay-Insensitive,medium_4_8,large_16_32,4,16
vm_00193,sub_043,dep_0076,1708037481,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00194,sub_035,dep_0173,1725079590,1740837279.0,Interactive,large_8_16,small_4_8,8,4
vm_00195,sub_028,dep_0160,1689770417,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00196,sub_013,dep_0131,1710915908,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00197,sub_004,dep_0100,1706011131,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00198,sub_023,dep_0165,1704164773,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00199,sub_042,dep_0020,1698485688,,Delay-Insensitive,small_2_4,xlarge_32_64,2,32
vm_00200,sub_003,dep_0005,1735864180,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00201,sub_000,dep_0187,1710847711,,Interactive,medium_4_8,large_16_32,4,16
vm_00202,sub_019,dep_0154,1704019288,,Delay-Insensitive,medium_4_8,xxlarge_64_128,4,64
vm_00203,sub_038,dep_0186,1740924035,,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00204,sub_011,dep_0112,1732080300,,Delay-Insensitive,large_8_16,small_4_8,8,4
vm_00205,sub_018,dep_0176,1730467115,,Delay-Insensitive,xxlarge_32_64,large_16_32,32,16
vm_00206,sub_023,dep_0101,1719821581,1741030848.0,Delay-Insensitive,xlarge_16_32,xlarge_32_64,16,32
vm_00207,sub_006,dep_0008,1697774557,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00208,sub_008,dep_0037,1703465822,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00209,sub_029,dep_0198,1740926989,1740938189.0,Delay-Insensitive,small_2_4,medium_8_16,2,8
vm_00210,sub_016,dep_0198,1712123702,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00211,sub_013,dep_0187,1706619521,1741021254.0,Delay-Insensitive,medium_4_8,xlarge_32_64,4,32
vm_00212,sub_007,dep_0013,1681528637,,Delay-Insensitive,medium_4_8,small_4_8,4,4
vm_00213,sub_012,dep_0062,1711280630,,Interactive,xxlarge_32_64,xlarge_32_64,32,32
vm_00214,sub_039,dep_0108,1697435448,,Interactive,small_2_4,xxlarge_64_128,2,64
vm_00215,sub_013,dep_0109,1681139436,,Delay-Insensitive,xxlarge_32_64,medium_8_16,32,8
vm_00216,sub_021,dep_0172,1691974988,,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00217,sub_032,dep_0089,1732766925,,Interactive,medium_4_8,small_4_8,4,4
vm_00218,sub_009,dep_0163,1686160814,,Delay-Insensitive,small_2_4,small_4_8,2,4
vm_00219,sub_006,dep_0186,1679094584,1740879304.0,Interactive,medium_4_8,xxlarge_64_128,4,64
vm_00220,sub_035,dep_0040,1683010297,,Interactive,small_2_4,medium_8_16,2,8
vm_00221,sub_021,dep_0045,1740809248,1740877375.0,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00222,sub_024,dep_0123,1730716710,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00223,sub_040,dep_0033,1711900931,,Interactive,medium_4_8,small_4_8,4,4
vm_00224,sub_023,dep_0187,1706075516,,Delay-Insensitive,xxlarge_32_64,small_4_8,32,4
vm_00225,sub_026,dep_0048,1709288991,1740977436.0,Delay-Insensitive,large_8_16,large_16_32,8,16
vm_00226,sub_012,dep_0095,1678840909,,Interactive,medium_4_8,large_16_32,4,16
vm_00227,sub_019,dep_0038,1683557871,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00228,sub_031,dep_0074,1698125411,,Interactive,xxlarge_32_64,large_16_32,32,16
vm_00229,sub_020,dep_0119,1708568898,,Interactive,medium_4_8,large_16_32,4,16
vm_00230,sub_032,dep_0054,1700284826,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00231,sub_013,dep_0037,1714295853,,Interactive,xxlarge_32_64,small_4_8,32,4
vm_00232,sub_036,dep_0029,1727600280,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00233,sub_019,dep_0096,1688040974,1740969943.0,Interactive,medium_4_8,small_4_8,4,4
vm_00234,sub_036,dep_0067,1711622010,,Delay-Insensitive,small_2_4,xxlarge_64_128,2,64
vm_00235,sub_007,dep_0062,1714483410,,Interactive,medium_4_8,medium_8_16,4,8
vm_00236,sub_016,dep_0107,1686154758,,Interactive,small_2_4,large_16_32,2,16
vm_00237,sub_021,dep_0122,1699306656,,Delay-Insensitive,xlarge_16_32,xlarge_32_64,16,32
vm_00238,sub_026,dep_0095,1692217219,1740808235.0,Delay-Insensitive,large_8_16,xlarge_32_64,8,32
vm_00239,sub_032,dep_0045,1699335422,1741004050.0,Interactive,large_8_16,large_16_32,8,16
vm_00240,sub_040,dep_0025,1731026216,,Delay-Insensitive,xlarge_16_32,xxlarge_64_128,16,64
vm_00241,sub_027,dep_0059,1681416253,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00242,sub_018,dep_0000,1740919487,,Interactive,xlarge_16_32,small_4_8,16,4
vm_00243,sub_034,dep_0028,1689086154,,Interactive,xlarge_16_32,medium_8_16,16,8
vm_00244,sub_043,dep_0001,1717497790,,Interactive,large_8_16,medium_8_16,8,8
vm_00245,sub_033,dep_0167,1691275356,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00246,sub_001,dep_0179,1740939775,,Interactive,large_8_16,large_16_32,8,16
vm_00247,sub_010,dep_0037,1714291409,,Delay-Insensitive,large_8_16,small_4_8,8,4
vm_00248,sub_028,dep_0026,1706356377,,Interactive,large_8_16,large_16_32,8,16
vm_00249,sub_003,dep_0150,1682351176,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00250,sub_020,dep_0038,1713789776,,Interactive,small_2_4,medium_8_16,2,8
vm_00251,sub_012,dep_0027,1722105653,,Delay-Insensitive,xlarge_16_32,xlarge_32_64,16,32
vm_00252,sub_003,dep_0032,1699969908,1740890671.0,Delay-Insensitive,xxlarge_32_64,medium_8_16,32,8
vm_00253,sub_038,dep_0014,1740893339,,Interactive,small_2_4,medium_8_16,2,8
vm_00254,sub_027,dep_0025,1719700403,,Interactive,medium_4_8,large_16_32,4,16
vm_00255,sub_039,dep_0196,1734765127,,Delay-Insensitive,small_2_4,xlarge_32_64,2,32
vm_00256,sub_013,dep_0100,1720785738,,Delay-Insensitive,xlarge_16_32,xlarge_32_64,16,32
vm_00257,sub_041,dep_0154,1680073535,,Interactive,xxlarge_32_64,medium_8_16,32,8
vm_00258,sub_000,dep_0144,1726792892,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00259,sub_021,dep_0044,1698321132,,Delay-Insensitive,medium_4_8,medium_8_16,4,8
vm_00260,sub_027,dep_0195,1721015777,,Interactive,small_2_4,small_4_8,2,4
vm_00261,sub_027,dep_0186,1723958397,,Delay-Insensitive,medium_4_8,xlarge_32_64,4,32
vm_00262,sub_021,dep_0011,1695138411,,Interactive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00263,sub_016,dep_0149,1713013211,1741032182.0,Interactive,xlarge_16_32,small_4_8,16,4
vm_00264,sub_009,dep_0081,1740838684,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00265,sub_004,dep_0127,1740791897,,Interactive,xlarge_16_32,large_16_32,16,16
vm_00266,sub_028,dep_0003,1734497029,,Interactive,small_2_4,large_16_32,2,16
vm_00267,sub_007,dep_0180,1703200910,,Delay-Insensitive,xxlarge_32_64,xxlarge_64_128,32,64
vm_00268,sub_004,dep_0076,1730141170,,Delay-Insensitive,xxlarge_32_64,small_4_8,32,4
vm_00269,sub_003,dep_0154,1730179055,,Delay-Insensitive,small_2_4,small_4_8,2,4
vm_00270,sub_032,dep_0140,1681416701,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00271,sub_033,dep_0049,1690018542,,Interactive,medium_4_8,large_16_32,4,16
vm_00272,sub_003,dep_0041,1684883943,,Delay-Insensitive,xxlarge_32_64,xlarge_32_64,32,32
vm_00273,sub_011,dep_0057,1683170701,,Interactive,medium_4_8,xlarge_32_64,4,32
vm_00274,sub_006,dep_0123,1682266826,,Interactive,large_8_16,xlarge_32_64,8,32
vm_00275,sub_010,dep_0066,1711170387,1741045386.0,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00276,sub_043,dep_0094,1688011926,,Interactive,large_8_16,xxlarge_64_128,8,64
vm_00277,sub_023,dep_0199,1680195868,,Interactive,xlarge_16_32,xxlarge_64_128,16,64
vm_00278,sub_025,dep_0093,1740870419,,Interactive,xlarge_16_32,xlarge_32_64,16,32
vm_00279,sub_029,dep_0086,1729483043,1740811872.0,Delay-Insensitive,large_8_16,small_4_8,8,4
vm_00280,sub_006,dep_0193,1679194174,,Interactive,xlarge_16_32,small_4_8,16,4
